title,vote_average,popularity,title_clean
Ragini MMS,4.6,1.9138,ragini mms
Ragini MMS 2,4.724,0.4577,ragini mms 2
Rebellion,6.0,0.3032,rebellion
RIDE ON TIME,0.0,0.0678,ride on time
SAS: Rise of the Black Swan,5.8,2.0075,sas: rise of the black swan
Shootout at Lokhandwala,6.1,0.6783,shootout at lokhandwala
Shor In the City,6.161,0.425,shor in the city
The Dirty Picture,6.2,3.1924,the dirty picture
EDENS ZERO,0.0,0.3386,edens zero
Family Reunion,8.0,0.5211,family reunion
"Bob Ross: Happy Accidents, Betrayal & Greed",6.736,0.8808,"bob ross: happy accidents, betrayal & greed"
Clickbait,4.5,0.1484,clickbait
Open Your Eyes,5.333,0.587,open your eyes
Really Love,6.5,0.6404,really love
The November Man,6.106,3.2919,the november man
The Old Ways,6.723,0.5819,the old ways
The River Runner,6.2,0.816,the river runner
The Water Man,6.1,1.2228,the water man
Wheel of Fortune,7.2,1.3696,wheel of fortune
Count Me In,6.9,0.3435,count me in
Oggy Oggy,7.1,0.743,oggy oggy
Untold: Caitlyn Jenner,6.5,0.4747,untold: caitlyn jenner
Boomika,5.4,0.5245,boomika
The Witcher: Nightmare of the Wolf,7.431,1.6793,the witcher: nightmare of the wolf
Manifest,8.0,0.2409,manifest
Everything Will Be Fine,4.875,0.1077,everything will be fine
Gunshot,7.0,0.1304,gunshot
Man in Love,7.2,1.598,man in love
Sweet Girl,6.604,5.6177,sweet girl
The Chair,6.0,0.0729,the chair
The Loud House Movie,7.3,2.2516,the loud house movie
A Faraway Land,4.4,0.1573,a faraway land
Like Crazy,6.4,1.3366,like crazy
Black Island,6.0,0.1493,black island
Bombay,0.0,1.6145,bombay
Go! Go! Cory Carson,4.75,0.326,go! go! cory carson
Memories of a Murderer: The Nilsen Tapes,5.947,0.7027,memories of a murderer: the nilsen tapes
Nneka The Pretty Serpent,3.9,0.1762,nneka the pretty serpent
O Kadhal Kanmani,7.0,0.4956,o kadhal kanmani
Out of my league,6.037,0.3976,out of my league
Pahuna,0.0,0.0286,pahuna
The Defeated,0.0,0.5477,the defeated
The Secret Diary of an Exchange Student,6.4,0.5214,the secret diary of an exchange student
Untold: Deal With the Devil,6.857,1.2345,untold: deal with the devil
Walk of Shame,5.964,2.2106,walk of shame
Rascal Does Not Dream of Bunny Girl Senpai,8.255,2.32,rascal does not dream of bunny girl senpai
The Piano,7.377,6.7758,the piano
Unroyal,4.5,3.531,unroyal
Winx Club,7.2,0.7859,winx club
Beckett,6.2,1.2389,beckett
Fast & Furious Spy Racers,7.004,19.1665,fast & furious spy racers
Gone for Good,0.0,0.2939,gone for good
The Kingdom,10.0,0.8379,the kingdom
Valeria,6.0,0.6697,valeria
Lokillo: Nothing's the Same,7.1,0.0596,lokillo: nothing's the same
Monster Hunter: Legends of the Guild,5.665,0.7393,monster hunter: legends of the guild
Brother Jekwu,0.0,0.207,brother jekwu
La diosa del asfalto,6.7,0.1882,la diosa del asfalto
Misha and the Wolves,6.9,0.822,misha and the wolves
The Kissing Booth 3,6.861,1.9523,the kissing booth 3
The Railway Man,6.839,1.105,the railway man
Gabby's Dollhouse,6.6,7.6447,gabby's dollhouse
Untold: Malice at the Palace,7.139,0.612,untold: malice at the palace
Quartet,6.488,0.7491,quartet
Slay,6.0,0.2379,slay
Takizawa Kabuki ZERO 2020 The Movie,0.0,0.1992,takizawa kabuki zero 2020 the movie
The Paper Tigers,6.771,0.3428,the paper tigers
Hit & Run,7.0,0.1721,hit & run
Navarasa,3.0,0.1306,navarasa
Quam's Money,3.8,0.1953,quam's money
The Swarm,5.008,1.3896,the swarm
Vivo,7.25,2.7236,vivo
Chennai Express,6.512,2.2668,chennai express
City of God: 10 Years Later,6.8,0.7425,city of god: 10 years later
Esperando la carroza,8.01,0.4908,esperando la carroza
Lady Boss: The Jackie Collins Story,6.2,0.3476,lady boss: the jackie collins story
Tango Feroz,6.25,0.277,tango feroz
'76,6.1,0.2169,'76
Aftermath,4.768,0.71,aftermath
Control Z,0.0,0.0797,control z
Heavy,6.6,0.7643,heavy
Ije: The Journey,6.0,0.0992,ije: the journey
Office Girls,0.0,0.1712,office girls
Pray Away,6.698,0.4763,pray away
Shiny_Flakes: The Teenage Drug Lord,7.514,0.7702,shiny_flakes: the teenage drug lord
Two Fathers,7.0,0.0728,two fathers
You're My Destiny,6.0,0.3391,you're my destiny
30 Rock,10.0,0.0648,30 rock
44 Cats,0.0,0.0,44 cats
Beethoven,5.834,3.2738,beethoven
Beethoven's 2nd,5.5,1.3427,beethoven's 2nd
Beowulf,5.906,4.4426,beowulf
Boyka: Undisputed,7.181,10.4802,boyka: undisputed
Catch Me If You Can,7.976,12.0975,catch me if you can
Cloudy with a Chance of Meatballs,6.655,5.6951,cloudy with a chance of meatballs
Deep Blue Sea,5.991,5.03,deep blue sea
Ferris Bueller's Day Off,7.566,4.8627,ferris bueller's day off
Five Feet Apart,8.221,5.4991,five feet apart
Freedomland,5.234,4.4736,freedomland
Friday Night Lights,6.9,1.5574,friday night lights
Good Luck Chuck,5.909,8.2609,good luck chuck
I missed you: Director's Cut,6.6,0.6794,i missed you: director's cut
Inception,8.37,30.3895,inception
Magnolia,7.732,4.5931,magnolia
Major Payne,6.449,3.1627,major payne
My Girl,7.407,7.5063,my girl
My Girl 2,6.0,1.5993,my girl 2
Open Season: Scared Silly,5.947,2.4065,open season: scared silly
Pineapple Express,6.642,4.1576,pineapple express
Planet 51,5.885,4.2487,planet 51
Poms,6.538,1.0117,poms
Seabiscuit,7.057,2.6915,seabiscuit
Space Cowboys,6.394,2.9489,space cowboys
Team America: World Police,6.735,3.7653,team america: world police
The Edge of Seventeen,7.159,3.3264,the edge of seventeen
The Haunting in Connecticut 2: Ghosts of Georgia,5.8,1.1123,the haunting in connecticut 2: ghosts of georgia
The Last Boy Scout,6.829,4.1008,the last boy scout
The Lincoln Lawyer,7.206,4.2185,the lincoln lawyer
The Losers,6.249,3.4351,the losers
The Machinist,7.522,3.9769,the machinist
The Net,6.0,3.4686,the net
The Original Kings of Comedy,6.409,0.881,the original kings of comedy
Valentine's Day,5.92,9.8785,valentine's day
Charmed,4.5,1.3209,charmed
The Lost Café,5.0,0.0528,the lost café
The Vault,2.0,0.1826,the vault
Eyes of a Thief,4.9,0.1116,eyes of a thief
