title,release_year,country,listed_in,title_clean,vote_average,popularity
A Cinderella Story,2004,"United States, Canada",Children & Family Movies,a cinderella story,6.6,5.7952
An Unfinished Life,2005,"Germany, United States",Dramas,an unfinished life,6.8,1.4536
Barbie Big City Big Dreams,2021,Unknown,Children & Family Movies,barbie big city big dreams,7.0,0.7457
Blade Runner: The Final Cut,1982,United States,Action & Adventure,blade runner: the final cut,7.94,14.9627
Chappie,2015,"South Africa, United States",Action & Adventure,chappie,6.785,8.7819
Clear and Present Danger,1994,"United States, Mexico",Action & Adventure,clear and present danger,6.641,4.0885
Cliffhanger,1993,"United States, Italy, France, Japan",Action & Adventure,cliffhanger,6.517,4.9778
Cold Mountain,2003,"United States, Italy, Romania, United Kingdom",Dramas,cold mountain,6.938,3.5209
Crocodile Dundee in Los Angeles,2001,"Australia, United States",Action & Adventure,crocodile dundee in los angeles,5.217,1.907
Dear John,2010,United States,Dramas,dear john,6.846,3.5453
Do the Right Thing,1989,United States,Classic Movies,do the right thing,7.769,3.0186
"El patrón, radiografía de un crimen",2014,"Argentina, Venezuela",Dramas,"el patrón, radiografía de un crimen",7.6,0.2999
Extraction,2015,"United States, United Kingdom, Canada",Action & Adventure,extraction,4.9,1.2398
Freedom Writers,2007,"Germany, United States",Dramas,freedom writers,7.9,3.5211
Green Lantern,2011,United States,Action & Adventure,green lantern,5.176,5.7521
House Party,1990,United States,Comedies,house party,6.404,4.0857
House Party 2,1991,United States,Comedies,house party 2,5.3,0.5471
House Party 3,1994,United States,Comedies,house party 3,5.1,0.867
I Got the Hook Up,1998,United States,Action & Adventure,i got the hook up,5.3,0.5939
In Too Deep,1999,United States,Thrillers,in too deep,6.391,1.2798
Initial D,2005,"China, Hong Kong",Action & Adventure,initial d,6.85,3.1046
Janoskians: Untold and Untrue,2016,United States,Comedies,janoskians: untold and untrue,5.1,0.1141
Kid-E-Cats,2016,Russia,Kids' TV,kid-e-cats,6.0,0.2163
Kuroko's Basketball,2015,Japan,Anime Series,kuroko's basketball,7.638,3.1054
Labyrinth,1986,"United Kingdom, United States",Action & Adventure,labyrinth,7.279,6.5256
Letters to Juliet,2010,United States,Comedies,letters to juliet,7.002,3.8852
Level 16,2018,Canada,Sci-Fi & Fantasy,level 16,6.759,1.4361
Love Don't Cost a Thing,2003,United States,Comedies,love don't cost a thing,7.548,5.5089
Love in a Puff,2010,Hong Kong,Comedies,love in a puff,7.04,0.6497
Mars Attacks!,1996,United States,Comedies,mars attacks!,6.414,6.1519
Marshall,2017,"United States, China, Hong Kong",Dramas,marshall,7.245,3.3959
My Boss's Daughter,2003,United States,Comedies,my boss's daughter,5.048,1.2489
Mystery Men,1999,United States,Action & Adventure,mystery men,5.829,2.6477
Once Upon a Time in America,1984,"Italy, United States",Classic Movies,once upon a time in america,8.386,12.2777
Open Season 2,2008,"United States, Canada",Children & Family Movies,open season 2,5.871,3.4057
Osmosis Jones,2001,United States,Action & Adventure,osmosis jones,6.49,3.0071
Poseidon,2006,United States,Action & Adventure,poseidon,5.9,4.7954
Rhyme & Reason,1997,United States,Documentaries,rhyme & reason,0.0,0.2466
Same Kind of Different as Me,2017,United States,Dramas,same kind of different as me,6.8,0.9114
School of Rock,2003,"United States, Germany",Comedies,school of rock,7.084,5.9752
Snervous Tyler Oakley,2015,United States,Documentaries,snervous tyler oakley,5.067,0.1461
Tears of the Sun,2003,United States,Action & Adventure,tears of the sun,6.884,5.2188
The Blue Lagoon,1980,United States,Dramas,the blue lagoon,6.144,4.7209
The Golden Child,1986,United States,Action & Adventure,the golden child,5.936,2.8969
The Guns of Navarone,1961,"United Kingdom, United States",Action & Adventure,the guns of navarone,7.304,2.6774
The Interview,2014,United States,Action & Adventure,the interview,6.19,6.715
The Nutty Professor,1996,United States,Comedies,the nutty professor,4.8,0.4565
The Nutty Professor II: The Klumps,2000,Unknown,Comedies,the nutty professor ii: the klumps,5.015,2.1606
Welcome Home Roscoe Jenkins,2008,United States,Comedies,welcome home roscoe jenkins,5.992,1.8568
In the Line of Fire,1993,United States,Action & Adventure,in the line of fire,6.965,3.667
Untold: Crime & Penalties,2021,Unknown,Documentaries,untold: crime & penalties,7.1,0.3357
2 Alone in Paris,2008,France,Comedies,2 alone in paris,5.121,2.8722
Bread Barbershop,2020,Unknown,Kids' TV,bread barbershop,0.0,0.367
Thimmarusu,2021,India,Dramas,thimmarusu,7.8,0.3929
Wind River,2017,"United Kingdom, Canada, United States",Dramas,wind river,7.432,6.5353
C Kkompany,2008,India,Action & Adventure,c kkompany,5.346,0.3352
D.P.,2021,", South Korea",International TV Shows,d.p.,0.0,0.2277
Deadly Sins,2002,Unknown,International TV Shows,deadly sins,7.7,1.9842
EMI: Liya Hai To Chukana Padega,2008,India,Comedies,emi: liya hai to chukana padega,7.0,0.4078
He's All That,2021,Unknown,Comedies,he's all that,6.471,2.7935
Koi Aap Sa,2006,India,Comedies,koi aap sa,7.2,0.1633
Krishna Cottage,2004,India,Action & Adventure,krishna cottage,5.0,0.5018
Kucch To Hai,2003,India,Dramas,kucch to hai,4.2,0.3217
Kyaa Kool Hai Hum,2005,India,Comedies,kyaa kool hai hum,4.868,0.223
Kyaa Kool Hain Hum 3,2016,India,Comedies,kyaa kool hain hum 3,2.8,0.3103
Kyaa Super Kool Hain Hum,2012,India,Comedies,kyaa super kool hain hum,4.8,0.3247
Kyo Kii... Main Jhuth Nahin Bolta,2001,India,Comedies,kyo kii... main jhuth nahin bolta,5.081,0.3664
"LSD: Love, Sex Aur Dhokha",2010,India,Dramas,"lsd: love, sex aur dhokha",6.156,0.5115
Once Upon a Time in Mumbaai,2010,India,Dramas,once upon a time in mumbaai,6.672,0.5531
Once Upon a Time in Mumbai Dobaara!,2013,India,Dramas,once upon a time in mumbai dobaara!,5.1,0.3168
Ragini MMS,2011,India,Horror Movies,ragini mms,4.6,1.9138
Ragini MMS 2,2014,India,Horror Movies,ragini mms 2,4.724,0.4577
Rebellion,2016,Ireland,International TV Shows,rebellion,6.0,0.3032
RIDE ON TIME,2021,Unknown,Docuseries,ride on time,0.0,0.0678
SAS: Rise of the Black Swan,2021,Unknown,Action & Adventure,sas: rise of the black swan,5.8,2.0075
Shootout at Lokhandwala,2007,India,Action & Adventure,shootout at lokhandwala,6.1,0.6783
Shor In the City,2011,India,Comedies,shor in the city,6.161,0.425
The Dirty Picture,2011,India,Comedies,the dirty picture,6.2,3.1924
EDENS ZERO,2021,Japan,Anime Series,edens zero,0.0,0.3386
Family Reunion,2021,United States,Kids' TV,family reunion,8.0,0.5211
"Bob Ross: Happy Accidents, Betrayal & Greed",2021,Unknown,Documentaries,"bob ross: happy accidents, betrayal & greed",6.736,0.8808
Clickbait,2021,Unknown,Crime TV Shows,clickbait,4.5,0.1484
Open Your Eyes,2021,Unknown,International TV Shows,open your eyes,5.333,0.587
Really Love,2020,United States,Dramas,really love,6.5,0.6404
The November Man,2014,"United States, United Kingdom",Action & Adventure,the november man,6.106,3.2919
The Old Ways,2020,United States,Horror Movies,the old ways,6.723,0.5819
The River Runner,2021,Unknown,Documentaries,the river runner,6.2,0.816
The Water Man,2021,United States,Children & Family Movies,the water man,6.1,1.2228
Wheel of Fortune,2019,United States,Reality TV,wheel of fortune,7.2,1.3696
Count Me In,2021,United Kingdom,Documentaries,count me in,6.9,0.3435
Oggy Oggy,2021,Unknown,Kids' TV,oggy oggy,7.1,0.743
Untold: Caitlyn Jenner,2021,Unknown,Documentaries,untold: caitlyn jenner,6.5,0.4747
Boomika,2021,Unknown,Horror Movies,boomika,5.4,0.5245
The Witcher: Nightmare of the Wolf,2021,Unknown,Action & Adventure,the witcher: nightmare of the wolf,7.431,1.6793
Manifest,2021,United States,TV Dramas,manifest,8.0,0.2409
Everything Will Be Fine,2021,Unknown,International TV Shows,everything will be fine,4.875,0.1077
Gunshot,2018,Unknown,Dramas,gunshot,7.0,0.1304
Man in Love,2021,Unknown,Dramas,man in love,7.2,1.598
Sweet Girl,2021,United States,Action & Adventure,sweet girl,6.604,5.6177
The Chair,2021,Unknown,TV Comedies,the chair,6.0,0.0729
The Loud House Movie,2021,Unknown,Children & Family Movies,the loud house movie,7.3,2.2516
A Faraway Land,2020,Unknown,Dramas,a faraway land,4.4,0.1573
Like Crazy,2011,United States,Dramas,like crazy,6.4,1.3366
Black Island,2021,Unknown,International Movies,black island,6.0,0.1493
Bombay,1995,India,Dramas,bombay,0.0,1.6145
Go! Go! Cory Carson,2021,United States,Kids' TV,go! go! cory carson,4.75,0.326
Memories of a Murderer: The Nilsen Tapes,2021,Unknown,Documentaries,memories of a murderer: the nilsen tapes,5.947,0.7027
Nneka The Pretty Serpent,2020,Unknown,Dramas,nneka the pretty serpent,3.9,0.1762
O Kadhal Kanmani,2015,Unknown,Dramas,o kadhal kanmani,7.0,0.4956
Out of my league,2020,Unknown,Comedies,out of my league,6.037,0.3976
Pahuna,2018,"India, Nepal",Comedies,pahuna,0.0,0.0286
The Defeated,2020,Unknown,Crime TV Shows,the defeated,0.0,0.5477
The Secret Diary of an Exchange Student,2021,Unknown,Comedies,the secret diary of an exchange student,6.4,0.5214
Untold: Deal With the Devil,2021,Unknown,Documentaries,untold: deal with the devil,6.857,1.2345
Walk of Shame,2014,United States,Comedies,walk of shame,5.964,2.2106
Rascal Does Not Dream of Bunny Girl Senpai,2018,Japan,Anime Series,rascal does not dream of bunny girl senpai,8.255,2.32
The Piano,1993,"New Zealand, Australia, France, United States",Classic Movies,the piano,7.377,6.7758
Unroyal,2020,Unknown,Dramas,unroyal,4.5,3.531
Winx Club,2015,Italy,Kids' TV,winx club,7.2,0.7859
Beckett,2021,"Italy, Brazil, Greece",Action & Adventure,beckett,6.2,1.2389
Fast & Furious Spy Racers,2021,United States,Kids' TV,fast & furious spy racers,7.004,19.1665
Gone for Good,2021,France,Crime TV Shows,gone for good,0.0,0.2939
The Kingdom,2021,Argentina,Crime TV Shows,the kingdom,10.0,0.8379
Valeria,2021,Spain,International TV Shows,valeria,6.0,0.6697
Lokillo: Nothing's the Same,2021,Colombia,Stand-Up Comedy,lokillo: nothing's the same,7.1,0.0596
Monster Hunter: Legends of the Guild,2021,"United States, Japan",Action & Adventure,monster hunter: legends of the guild,5.665,0.7393
Brother Jekwu,2016,Nigeria,Comedies,brother jekwu,0.0,0.207
La diosa del asfalto,2020,Mexico,Dramas,la diosa del asfalto,6.7,0.1882
Misha and the Wolves,2021,"Belgium, United Kingdom",Documentaries,misha and the wolves,6.9,0.822
The Kissing Booth 3,2021,"United Kingdom, United States",Comedies,the kissing booth 3,6.861,1.9523
The Railway Man,2013,"Switzerland, United Kingdom, Australia",Dramas,the railway man,6.839,1.105
Gabby's Dollhouse,2021,United States,Kids' TV,gabby's dollhouse,6.6,7.6447
Untold: Malice at the Palace,2021,United States,Documentaries,untold: malice at the palace,7.139,0.612
Quartet,2012,United Kingdom,Comedies,quartet,6.488,0.7491
Slay,2021,South Africa,Comedies,slay,6.0,0.2379
Takizawa Kabuki ZERO 2020 The Movie,2020,Unknown,International Movies,takizawa kabuki zero 2020 the movie,0.0,0.1992
The Paper Tigers,2021,United States,Action & Adventure,the paper tigers,6.771,0.3428
Hit & Run,2021,"Israel, United States",TV Action & Adventure,hit & run,7.0,0.1721
Navarasa,2021,India,TV Shows,navarasa,3.0,0.1306
Quam's Money,2020,Nigeria,Comedies,quam's money,3.8,0.1953
The Swarm,2021,France,Horror Movies,the swarm,5.008,1.3896
Vivo,2021,"Canada, United States",Children & Family Movies,vivo,7.25,2.7236
Chennai Express,2013,India,Action & Adventure,chennai express,6.512,2.2668
City of God: 10 Years Later,2013,Brazil,Documentaries,city of god: 10 years later,6.8,0.7425
Esperando la carroza,1985,Argentina,Comedies,esperando la carroza,8.01,0.4908
Lady Boss: The Jackie Collins Story,2021,United Kingdom,Documentaries,lady boss: the jackie collins story,6.2,0.3476
Tango Feroz,1993,"Argentina, Spain",Classic Movies,tango feroz,6.25,0.277
'76,2016,Nigeria,Dramas,'76,6.1,0.2169
Aftermath,2021,United States,Horror Movies,aftermath,4.768,0.71
Control Z,2021,Mexico,International TV Shows,control z,0.0,0.0797
Heavy,1995,United States,Dramas,heavy,6.6,0.7643
Ije: The Journey,2010,"United States, Nigeria",Dramas,ije: the journey,6.0,0.0992
Office Girls,2011,Taiwan,International TV Shows,office girls,0.0,0.1712
Pray Away,2021,United States,Documentaries,pray away,6.698,0.4763
Shiny_Flakes: The Teenage Drug Lord,2021,Unknown,Documentaries,shiny_flakes: the teenage drug lord,7.514,0.7702
Two Fathers,2013,Taiwan,International TV Shows,two fathers,7.0,0.0728
You're My Destiny,2008,Taiwan,International TV Shows,you're my destiny,6.0,0.3391
30 Rock,2012,United States,TV Comedies,30 rock,10.0,0.0648
44 Cats,2020,Italy,Kids' TV,44 cats,0.0,0.0
Beethoven,1992,United States,Children & Family Movies,beethoven,5.834,3.2738
Beethoven's 2nd,1993,United States,Children & Family Movies,beethoven's 2nd,5.5,1.3427
Beowulf,2007,"United States, United Kingdom",Action & Adventure,beowulf,5.906,4.4426
Boyka: Undisputed,2016,"Bulgaria, United States",Action & Adventure,boyka: undisputed,7.181,10.4802
Catch Me If You Can,2002,"United States, Canada",Dramas,catch me if you can,7.976,12.0975
Cloudy with a Chance of Meatballs,2009,"United States, Canada",Children & Family Movies,cloudy with a chance of meatballs,6.655,5.6951
Deep Blue Sea,1999,"United States, Mexico",Action & Adventure,deep blue sea,5.991,5.03
Ferris Bueller's Day Off,1986,United States,Classic Movies,ferris bueller's day off,7.566,4.8627
Five Feet Apart,2019,United States,Dramas,five feet apart,8.221,5.4991
Freedomland,2006,United States,Dramas,freedomland,5.234,4.4736
Friday Night Lights,2010,Unknown,TV Dramas,friday night lights,6.9,1.5574
Good Luck Chuck,2007,"United States, Canada",Comedies,good luck chuck,5.909,8.2609
I missed you: Director's Cut,2021,Unknown,Dramas,i missed you: director's cut,6.6,0.6794
Inception,2010,"United States, United Kingdom",Action & Adventure,inception,8.37,30.3895
Magnolia,1999,United States,Dramas,magnolia,7.732,4.5931
Major Payne,1995,United States,Comedies,major payne,6.449,3.1627
My Girl,1991,United States,Dramas,my girl,7.407,7.5063
My Girl 2,1994,United States,Children & Family Movies,my girl 2,6.0,1.5993
Open Season: Scared Silly,2015,"United States, Canada",Children & Family Movies,open season: scared silly,5.947,2.4065
Pineapple Express,2008,United States,Action & Adventure,pineapple express,6.642,4.1576
Planet 51,2009,"Spain, United Kingdom, United States",Children & Family Movies,planet 51,5.885,4.2487
Poms,2019,"United Kingdom, United States",Comedies,poms,6.538,1.0117
Seabiscuit,2003,United States,Dramas,seabiscuit,7.057,2.6915
Space Cowboys,2000,United States,Action & Adventure,space cowboys,6.394,2.9489
Team America: World Police,2004,"United States, Germany",Action & Adventure,team america: world police,6.735,3.7653
The Edge of Seventeen,2016,"United States, China",Comedies,the edge of seventeen,7.159,3.3264
The Haunting in Connecticut 2: Ghosts of Georgia,2013,United States,Horror Movies,the haunting in connecticut 2: ghosts of georgia,5.8,1.1123
The Last Boy Scout,1991,United States,Action & Adventure,the last boy scout,6.829,4.1008
The Lincoln Lawyer,2011,United States,Dramas,the lincoln lawyer,7.206,4.2185
The Losers,2010,"United States, France",Action & Adventure,the losers,6.249,3.4351
The Machinist,2004,"Spain, France, United Kingdom, United States",Dramas,the machinist,7.522,3.9769
The Net,1995,United States,Thrillers,the net,6.0,3.4686
The Original Kings of Comedy,2000,United States,Stand-Up Comedy,the original kings of comedy,6.409,0.881
Valentine's Day,2010,United States,Comedies,valentine's day,5.92,9.8785
Charmed,2021,United States,TV Dramas,charmed,4.5,1.3209
The Lost Café,2018,Unknown,Dramas,the lost café,5.0,0.0528
The Vault,2021,Unknown,Action & Adventure,the vault,2.0,0.1826
Eyes of a Thief,2014,", France, Algeria",Dramas,eyes of a thief,4.9,0.1116
Glow Up,2021,United Kingdom,British TV Shows,glow up,0.0,0.1029
I'm Glad I Did,2020,Unknown,Documentaries,i'm glad i did,7.6,0.0919
Myth & Mogul: John DeLorean,2021,Unknown,British TV Shows,myth & mogul: john delorean,6.418,3.8545
Outer Banks,2021,United States,TV Action & Adventure,outer banks,10.0,0.0327
Pomegranates and Myrrh,2009,Unknown,Dramas,pomegranates and myrrh,5.2,0.2933
Rurouni Kenshin: The Beginning,2021,Unknown,Action & Adventure,rurouni kenshin: the beginning,7.655,3.7764
The Last Mercenary,2021,Unknown,Action & Adventure,the last mercenary,6.377,1.5851
Flower Girl,2013,Nigeria,Comedies,flower girl,9.0,0.5914
Resort to Love,2021,Unknown,Comedies,resort to love,7.126,1.6993
Bartkowiak,2021,Poland,Action & Adventure,bartkowiak,6.0,0.4235
Fantastic Fungi,2019,United States,Documentaries,fantastic fungi,7.24,1.3892
The Flash,2021,United States,Crime TV Shows,the flash,6.62,15.0554
All American,2021,United States,TV Dramas,all american,10.0,0.2327
Department,2012,India,Action & Adventure,department,6.3,0.3468
Hostage House,2021,Unknown,Thrillers,hostage house,6.469,0.7567
Mighty Express,2021,"United States, Canada",Kids' TV,mighty express,4.7,0.2804
Mimi,2021,Unknown,Comedies,mimi,5.2,0.237
The Operative,2019,"France, Israel, Germany, United States, United Kingdom",Dramas,the operative,5.835,1.015
The Walking Dead,2019,United States,Classic & Cult TV,the walking dead,3.265,0.3869
Wynonna Earp,2020,"Canada, United States",International TV Shows,wynonna earp,6.586,0.5941
Django Unchained,2012,United States,Action & Adventure,django unchained,8.187,13.5873
A Second Chance:  Rivals!,2021,Australia,Children & Family Movies,a second chance:  rivals!,6.941,0.6311
African America,2021,Unknown,Dramas,african america,2.0,0.5458
Bankrolled,2021,Unknown,Comedies,bankrolled,5.5,0.3423
Blood Red Sky,2021,Unknown,Action & Adventure,blood red sky,6.801,3.2702
Kingdom: Ashin of the North,2021,Unknown,Horror Movies,kingdom: ashin of the north,7.1,2.8454
Sky Rojo,2021,Spain,International TV Shows,sky rojo,6.801,3.2702
The Last Letter From Your Lover,2021,United Kingdom,Dramas,the last letter from your lover,7.332,2.0
The Movies That Made Us,2021,United States,Docuseries,the movies that made us,0.0,0.0286
9to5: The Story of a Movement,2021,Unknown,Documentaries,9to5: the story of a movement,7.7,0.1238
Chhota Bheem - Dinosaur World,2015,Unknown,Children & Family Movies,chhota bheem - dinosaur world,0.0,0.0534
Chhota Bheem - Neeli Pahaadi,2013,Unknown,Children & Family Movies,chhota bheem - neeli pahaadi,10.0,0.1386
Chhota Bheem & Ganesh,2009,Unknown,Children & Family Movies,chhota bheem & ganesh,6.3,0.1827
Chhota Bheem & Krishna: Mayanagari,2011,Unknown,Children & Family Movies,chhota bheem & krishna: mayanagari,6.3,0.1827
Chhota Bheem & Krishna: Pataliputra- City of the Dead,2010,Unknown,Children & Family Movies,chhota bheem & krishna: pataliputra- city of the dead,6.3,0.1827
Chhota Bheem And The Broken Amulet,2013,India,Children & Family Movies,chhota bheem and the broken amulet,0.0,0.0757
Chhota Bheem And The Crown of Valhalla,2013,Unknown,Children & Family Movies,chhota bheem and the crown of valhalla,10.0,0.0814
Chhota Bheem and the Incan Adventure,2013,Unknown,Children & Family Movies,chhota bheem and the incan adventure,0.0,0.0879
Chhota Bheem and The ShiNobi Secret,2013,Unknown,Children & Family Movies,chhota bheem and the shinobi secret,0.0,0.0811
